engine,P(mention|not cited),P(mention|cited),lift,share cited
AIMODE,0.046292874659858235,0.4375,9.5,0.12095797773380976
CHATGPT,0.029137263828818576,0.5582202587567056,19.2,0.0934257075471698
COPILOT,0.0699390636004532,0.6229903536977492,8.9,0.0366950827409221
GEMINI,0.07390443179004705,0.6368159203980099,8.6,0.047405660377358494
PERPLEXITY,0.017008379390265643,0.1872070581748001,11.0,0.11451755493811569
