motion,engine,prompt_id,days,days_mentioned,share
ai-tracking-api,CHATGPT,025471cbadcce5426fe4439fb3d010f5,10,0,0.0
ai-tracking-api,CHATGPT,040ff641a618da0485a0f38b66d135e6,10,0,0.0
ai-tracking-api,CHATGPT,0e49e01ff99288e22cfc6f2c06cbbc55,10,0,0.0
ai-tracking-api,CHATGPT,0f9d888952239fcaca6e3b06ea412556,10,0,0.0
ai-tracking-api,CHATGPT,1e19524f03b29230a1aa5c5743ee8ff9,10,0,0.0
ai-tracking-api,CHATGPT,200903516e28bf693e0c3af9d775d21a,10,0,0.0
ai-tracking-api,CHATGPT,26409d82a55baa2d69858f838eeac8a8,10,0,0.0
ai-tracking-api,CHATGPT,2bf65eea07243c0071af11c2fbd28718,10,0,0.0
ai-tracking-api,CHATGPT,2c2d72ccdc01be5dc50e2d41c17601d3,10,1,0.1
ai-tracking-api,CHATGPT,2d48aa2344304bcf1f39a233201f0b4c,10,0,0.0
ai-tracking-api,CHATGPT,348207ed40073984d146e7ca3a62d1f4,10,0,0.0
ai-tracking-api,CHATGPT,46c0a33f2e21675c3f0e8b8d67d1e33c,10,0,0.0
ai-tracking-api,CHATGPT,471d24b75fc03606f4b8400a68a6ae68,10,0,0.0
ai-tracking-api,CHATGPT,4c6421a1b523ca1c05aaa933f9280684,10,0,0.0
ai-tracking-api,CHATGPT,4f5a11da52cb73652d015db545c4e8a6,10,0,0.0
ai-tracking-api,CHATGPT,51c84c9bc6a86d1e9461624c222774f2,10,0,0.0
ai-tracking-api,CHATGPT,552e70bd69fa50222f2562ca8a779589,10,0,0.0
ai-tracking-api,CHATGPT,575fc8786a70b46452ebb369d3730cb0,10,0,0.0
ai-tracking-api,CHATGPT,5a6d64cbe0b5628af15d0d52168266d6,10,0,0.0
ai-tracking-api,CHATGPT,5bd745891e977effe2440c7efac29c3d,10,0,0.0
ai-tracking-api,CHATGPT,67b0e88e81fce95a7019d321664b8f63,10,0,0.0
ai-tracking-api,CHATGPT,68940635f7c5ae0534487a958af5cd9a,10,0,0.0
ai-tracking-api,CHATGPT,71d04f5b9a4648bec796bfe763a0b287,10,0,0.0
